# evtl. I um Faktor 10 zu niedrig!
# U in V, I in nA
19.04 -0.002
15    -0.002
10    -0.002
5     -0.0019
2.5   -0.0018
0.6   -0
1     -0.001
1.75  -0.0016
# ...
#Ausreißer, vtml. um x10 ↓
# 0     +2.1
# korrigiert zu ↓
0     +0.21
0.51 0
0.32 0.01
0.26 0.02
0.23 0.03
0.20 0.042
0.17 0.062
0.15 0.071
0.12 0.091
# ---
-0.00  0.125
-0.05  0.275
-0.1   0.31
-0.162 0.4
-0.242 0.5
-0.3   0.58
-0.4   0.69
-0.5   0.78
-0.6   0.90
-1.0   1.1
-2.5   2.05
-5.0   3
-10.0  3.8
-15.0  4.09
-19.14 4.38
-17.5  4.3
-12.5  4.00
